Set,LC,rmse.mod,rmse.Y2,diff,prop
Y1+Y2,1,0.041,0.065,-0.024,-0.369
Y1+Y2,2,0.062,0.093,-0.031,-0.333
Y1+Y2,3,0.114,0.198,-0.084,-0.424
Y1+Y2,4,0.104,0.179,-0.075,-0.419
Y1+Y2,6,0.108,0.206,-0.09799999999999999,-0.476
Y2,1,0.091,0.084,0.006999999999999992,0.083
Y2,2,0.116,0.12,-0.00399999999999999,-0.033
Y2,3,0.165,0.166,-0.0010000000000000009,-0.006
Y2,4,0.101,0.23,-0.129,-0.561
Y2,6,0.19,0.219,-0.028999999999999998,-0.132
