Set,LC,rmse.mod
Y1+Y2,1,0.06
Y1+Y2,2,0.09
Y1+Y2,3,0.188
Y1+Y2,4,0.063
Y1+Y2,5,0.113
Y1+Y2,6,0.174
Y2,1,0.076
Y2,2,0.115
Y2,3,0.17
Y2,4,0.165
Y2,5,0.13
Y2,6,0.203
