Set,LC,rmse.mod
Y1+Y2,1,0.041
Y1+Y2,2,0.062
Y1+Y2,3,0.114
Y1+Y2,4,0.044
Y1+Y2,5,0.078
Y1+Y2,6,0.108
Y2,1,0.091
Y2,2,0.116
Y2,3,0.165
Y2,4,0.128
Y2,5,0.128
Y2,6,0.19
