Set,LC,rmse.mod
Y1+Y2,1,0.016
Y1+Y2,2,0.02
Y1+Y2,3,0.088
Y1+Y2,4,0.025
Y1+Y2,5,0.076
Y1+Y2,6,0.074
Y2,1,0.086
Y2,2,0.11
Y2,3,0.156
Y2,4,0.129
Y2,5,0.123
Y2,6,0.211
