Set,LC,rmse.mod,rmse.Y2,diff,prop
Y1+Y2,1,0.017,0.065,-0.048,-0.738
Y1+Y2,2,0.053,0.093,-0.04,-0.43
Y1+Y2,3,0.11,0.198,-0.08800000000000001,-0.444
Y1+Y2,4,0.097,0.179,-0.08199999999999999,-0.458
Y1+Y2,6,0.063,0.206,-0.143,-0.694
Y2,1,0.077,0.084,-0.007000000000000006,-0.083
Y2,2,0.115,0.12,-0.0049999999999999906,-0.042
Y2,3,0.171,0.166,0.0050000000000000044,0.03
Y2,4,0.102,0.23,-0.128,-0.557
Y2,6,0.203,0.219,-0.015999999999999986,-0.073
