Set,LC,rmse.mod,rmse.Y2,diff,prop
Y1+Y2,1,0.016,0.065,-0.049,-0.754
Y1+Y2,2,0.02,0.093,-0.073,-0.785
Y1+Y2,3,0.088,0.198,-0.11000000000000001,-0.556
Y1+Y2,4,0.102,0.179,-0.077,-0.43
Y1+Y2,6,0.074,0.206,-0.132,-0.641
Y2,1,0.086,0.084,0.001999999999999988,0.024
Y2,2,0.11,0.12,-0.009999999999999995,-0.083
Y2,3,0.156,0.166,-0.010000000000000009,-0.06
Y2,4,0.106,0.23,-0.12400000000000001,-0.539
Y2,6,0.211,0.219,-0.008000000000000007,-0.037
