Set,LC,rmse.mod,rmse.Y2,diff,prop
Y1+Y2,1,0.031,0.065,-0.034,-0.523
Y1+Y2,2,0.035,0.093,-0.057999999999999996,-0.624
Y1+Y2,3,0.094,0.198,-0.10400000000000001,-0.525
Y1+Y2,4,0.102,0.179,-0.077,-0.43
Y1+Y2,6,0.082,0.206,-0.12399999999999999,-0.602
Y2,1,0.078,0.084,-0.006000000000000005,-0.071
Y2,2,0.127,0.12,0.007000000000000006,0.058
Y2,3,0.159,0.166,-0.007000000000000006,-0.042
Y2,4,0.106,0.23,-0.12400000000000001,-0.539
Y2,6,0.224,0.219,0.0050000000000000044,0.023
