Set,LC,rmse.mod
Y1+Y2,1,0.031
Y1+Y2,2,0.035
Y1+Y2,3,0.094
Y1+Y2,4,0.019
Y1+Y2,5,0.08
Y1+Y2,6,0.082
Y2,1,0.078
Y2,2,0.127
Y2,3,0.159
Y2,4,0.151
Y2,5,0.106
Y2,6,0.224
