n,model,warmup,sample,tot,perCell
3000,evg0_p1,4613.79,6575.36,11189.15,3.7297166666666666
3000,evg0_p1,4318.41,4626.61,8945.02,2.9816733333333336
3000,evg0_p1,4712.03,4434.69,9146.72,3.0489066666666664
3000,evg0_p1,5132.41,4174.28,9306.689999999999,3.1022299999999996
3000,evg0_p1,4006.2,2697.12,6703.32,2.2344399999999998
3000,evg0_p1,4994.96,4636.77,9631.73,3.2105766666666664
3000,evg0_p1,4042.22,2925.24,6967.459999999999,2.3224866666666664
3000,evg1_p0,4881.1,4376.35,9257.45,3.085816666666667
3000,evg1_p0,4483.08,4309.33,8792.41,2.9308033333333334
3000,evg1_p0,4328.94,2535.86,6864.799999999999,2.2882666666666664
3000,evg1_p0,5145.73,4308.25,9453.98,3.1513266666666664
3000,evg1_p0,4936.83,4353.17,9290,3.0966666666666667
3000,evg1_p0,4502.32,3576.33,8078.65,2.692883333333333
3000,evg1_p0,4694.25,4432.65,9126.9,3.0423
3000,evg1_p0,4174.88,3797.59,7972.47,2.65749
3000,evg2_p2,5592.78,4299.73,9892.509999999998,3.297503333333333
3000,evg2_p2,4413.52,3302.65,7716.17,2.5720566666666667
3000,evg2_p2,4904.72,4632.45,9537.17,3.179056666666667
3000,evg2_p2,4624.59,4700.54,9325.130000000001,3.108376666666667
3000,evg2_p2,5066.41,4573.76,9640.17,3.21339
3000,evg2_p2,4444.58,4782.46,9227.04,3.07568
3000,evg2_p2,4851.19,4253.72,9104.91,3.03497
3000,evg2_p2,4965.12,4641.04,9606.16,3.202053333333333
7500,evg0_p0,16098.6,12365.7,28464.300000000003,3.79524
7500,evg0_p0,16951.8,12067.2,29019,3.8692
7500,evg0_p0,14947.4,12369.8,27317.199999999997,3.642293333333333
7500,evg0_p0,16139.2,7121.09,23260.29,3.101372
7500,evg0_p0,18483.5,11128.9,29612.4,3.9483200000000003
7500,evg0_p0,18044.8,13843.9,31888.699999999997,4.251826666666666
7500,evg0_p0,16300.3,11901.8,28202.1,3.76028
7500,evg0_p0,16209.2,12134.3,28343.5,3.7791333333333332
7500,evg0_p1,19614.2,26800.6,46414.8,6.18864
7500,evg0_p1,18468.2,11993.8,30462,4.0616
7500,evg0_p1,14211.7,12346.3,26558,3.5410666666666666
7500,evg0_p1,16394.2,12297.7,28691.9,3.8255866666666667
7500,evg0_p1,17226.1,12154.9,29381,3.917466666666667
7500,evg0_p1,17253.4,12319.3,29572.7,3.943026666666667
7500,evg0_p1,19723.8,11429.9,31153.699999999997,4.153826666666666
7500,evg0_p1,17902.8,12084.4,29987.199999999997,3.998293333333333
7500,evg1_p0,20304.1,11845,32149.1,4.286546666666666
7500,evg1_p0,21319.6,11378.6,32698.199999999997,4.35976
7500,evg1_p0,16256.2,14109.4,30365.6,4.048746666666666
7500,evg1_p0,15447.6,12613.5,28061.1,3.7414799999999997
7500,evg1_p0,17239.3,12851.3,30090.6,4.01208
7500,evg1_p0,16663.6,13026.2,29689.8,3.95864
7500,evg1_p0,17634.8,12973.2,30608,4.081066666666667
7500,evg1_p0,22464,10856.9,33320.9,4.442786666666667
7500,evg2_p2,20943.3,15407.2,36350.5,4.846733333333333
7500,evg2_p2,17608.1,6724.64,24332.739999999998,3.244365333333333
7500,evg2_p2,14379.6,6577.55,20957.15,2.794286666666667
7500,evg2_p2,15741.7,11530.5,27272.2,3.6362933333333336
7500,evg2_p2,15967.5,11972.9,27940.4,3.725386666666667
7500,evg2_p2,17295.6,11220.9,28516.5,3.8022
7500,evg2_p2,16336.5,11423.7,27760.2,3.70136
7500,evg2_p2,17255.7,11211.7,28467.4,3.7956533333333335
