n,model,warmup,sample,tot,perCell
7500,cauch0_Lmx0,16311.8,11696.1,28007.9,3.734386666666667
7500,cauch0_Lmx0,17382.9,11385.3,28768.2,3.83576
7500,cauch0_Lmx1,17780.3,12229.8,30010.1,4.001346666666667
7500,cauch0_Lmx1,16172.2,12335.7,28507.9,3.8010533333333334
7500,cauch0_Lmx1,17748.1,12213.5,29961.6,3.9948799999999998
7500,cauch0_Lmx1,21155.7,7919.9,29075.6,3.8767466666666666
7500,cauch0_Lmx1,16321.2,12747.7,29068.9,3.8758533333333336
7500,cauch0_Lmx1,16149.7,14339.5,30489.2,4.065226666666667
7500,cauch0_Lmx1,23879,11317.2,35196.2,4.692826666666666
7500,cauch0_Lmx1,20209,11283.5,31492.5,4.199
7500,cauch1_Lmx0,19032.3,12189.7,31222,4.162933333333333
7500,cauch1_Lmx0,18411.4,12368.8,30780.2,4.104026666666667
7500,cauch1_Lmx0,19760.1,14341.4,34101.5,4.546866666666666
7500,cauch1_Lmx0,20498.4,19016.8,39515.2,5.268693333333333
7500,cauch1_Lmx0,19008.2,12036.1,31044.300000000003,4.13924
7500,cauch1_Lmx0,17909.5,9927.02,27836.52,3.711536
7500,cauch1_Lmx0,26199.8,16136.1,42335.9,5.644786666666667
7500,cauch1_Lmx0,19378.5,12232.6,31611.1,4.214813333333333
