left,bottom,pWP_mean,nlcd1_mean,nlcd2_mean,nlcd3_mean,nlcd4_mean,nlcd5_mean,nhlc1_mean,nhlc2_mean,nhlc3_mean,nhlc4_mean,nhlc5_mean,nhlc6_mean,bio1_mean,bio7_mean,bio12_mean,el_mean,rugg_mean,CellID,home_sum,pop_sum
705000.0,4570000.0,14.2355408943,0.264669111519,0.456201033506,0.200158359727,0.0672195365894,0.0117519586598,,,,,,,114.685924306,294.928268433,1161.58823529,7.75161666582,0.912925066592,943,483.532366769,8360.53084917
705000.0,4575000.0,6.22295528703,0.0561870271433,0.126071210872,0.733981139517,0.0760156334039,0.00774498906379,,,,,,,111.785515467,297.0061832,1199.0,49.8934467627,2.02712485246,942,8.446201077,3783.56691046
705000.0,4580000.0,7.20007888415,0.0297608376062,0.113951737244,0.757395388863,0.0876331169995,0.0112589192872,,,,,,,108.626851612,299.131714715,1221.30555556,103.789350308,1.95774648082,941,9.121688418,1591.27618683
705000.0,4585000.0,7.53634049267,0.0283529326888,0.117560060602,0.733136137364,0.113375658322,0.00757521102374,,,,,,,107.787830989,301.765239292,1149.97222222,116.306801953,2.68215185492,940,29.204943315,894.928334443
705000.0,4590000.0,9.71806088422,0.0441034099466,0.133887912797,0.698017139374,0.100756570691,0.0232349671914,,,,,,,108.861507961,305.124298822,1117.69047619,85.8131868035,3.32214391054,939,9.218245533,1358.04063379
705000.0,4595000.0,12.62999749,0.049768726021,0.233640503424,0.624798307576,0.0624260461114,0.0293664168669,,,,,,,110.782804277,308.680036757,1123.47222222,60.7310546027,3.12400866155,938,21.713198653,922.231726021
705000.0,4600000.0,5.93743052817,0.0349241636487,0.0974577790527,0.757359532432,0.104270500914,0.0059880239521,,,,,,,106.729827033,310.507510715,1298.61111111,119.094505046,2.74620082247,937,1.121212747,4558.54763892
705000.0,4605000.0,11.3616479616,0.109111119079,0.218688371759,0.607121087167,0.0617447739252,0.00333464806913,,,,,,,104.013162401,312.627226935,1263.05555556,173.096064419,2.04528790723,936,135.266507027,6017.00542984
705000.0,4610000.0,8.06733837714,0.0361806507467,0.09043359065,0.738402712647,0.121708390448,0.0132746555083,,,,,,,102.979025523,315.342246646,1280.0952381,177.563463966,2.50588643351,935,4.463362294,1576.04616304
705000.0,4615000.0,13.4510739001,0.0548603392018,0.106027466026,0.680447488257,0.10746172326,0.051202983255,,,,,,,102.996692657,318.249885559,1402.38888889,174.672550983,2.89475098295,934,2.855845382,3156.46162912
705000.0,4620000.0,14.2241541014,0.0739718168454,0.141955609739,0.615296353401,0.115529420202,0.0532467998135,,,,,,,103.639814589,320.940578885,1419.80555556,153.033899418,2.41838041798,933,5.567662717,3697.16487382
705000.0,4625000.0,29.5521531787,0.444117752519,0.26042525727,0.222130589121,0.0466850729678,0.0266413281222,,,,,,,105.923610475,324.056259155,1370.11111111,104.252569096,1.89814468217,932,40.794076619,26632.0170913
705000.0,4630000.0,25.7076983757,0.421542457254,0.336050789986,0.176285982252,0.0603491811558,0.00577158935142,,,,,,,107.062924703,327.055987404,1291.47619048,83.3603252711,1.58850934973,931,36.062940098,14689.8149197
705000.0,4635000.0,23.6123919825,0.307827458855,0.410950553982,0.192513177238,0.0828283552655,0.00588045465954,,,,,,,106.764748467,329.533991496,1241.61111111,84.3290939877,1.10024704673,930,12.663460665,12487.8852987
705000.0,4640000.0,22.5282010829,0.0721789953028,0.674065043566,0.168776220015,0.077414034207,0.00756570690953,,,,,,,107.389749315,331.976996528,1245.19444444,69.5781407657,1.08289359106,929,3.966983578,2524.09356133
705000.0,4645000.0,18.9454623687,0.0428484348668,0.490731112625,0.39445659579,0.0574778586539,0.0144859980638,,,,,,,106.557473712,333.921784295,1274.38888889,79.4816085465,1.18668108471,928,4.446376653,2023.0520444
705000.0,4650000.0,24.7405428664,0.195202409552,0.458567894152,0.177274194127,0.140377926781,0.0285775753881,,,,,,,106.947420756,335.980081346,1198.5,63.8473150756,0.922968807405,927,3.651700658,7154.26724164
705000.0,4655000.0,25.8007099573,0.183284034341,0.342868479908,0.274366928793,0.170370103167,0.0291104537912,,,,,,,105.651190258,337.704822359,1213.26190476,79.2569992777,0.995274157149,926,12.615679066,9251.43272999
890000.0,4615000.0,20.0223649087,0.107823613087,0.701849217639,0.145661450925,0.0156472261735,0.0290184921764,,,,,,,100.808570862,226.357357788,1121.2,0.514608795039,0.186460649979,2752,205.691530251,181.46648963
705000.0,4660000.0,35.3664168669,0.333823371222,0.31395890853,0.102047402202,0.192405607946,0.0577647101008,,,,,,,105.508135266,339.578752306,1218.22222222,73.044115923,0.91341837561,925,15.477456071,17090.1440884
890000.0,4620000.0,12.8470024677,0.484115523466,0.40725631769,0.023357400722,0.036714801444,0.0485559566787,,,,,,,100.170105828,227.574297163,1119.25,9.5471278255,0.944280795446,2751,1321.49213368,15395.4692164
705000.0,4665000.0,37.8392556205,0.427444512173,0.32955645595,0.0904657750368,0.107390010398,0.0451432464412,,,,,,,105.220503913,341.159055922,1205.63888889,71.6639965183,0.860012196274,924,35.226985869,23297.8232064
890000.0,4625000.0,13.2638337782,0.183082404321,0.548289468643,0.0984944259281,0.0857755813508,0.0843581197564,,,,,,,99.4813602992,228.298168945,1145.0,11.1861271379,1.49452620285,2750,313.77622105,2843.84004729
705000.0,4670000.0,29.625085159,0.385420775216,0.330417010291,0.158628850084,0.109684821973,0.0158485424361,,,,,,,104.751256731,342.585724725,1180.16666667,74.9951170358,1.26449709023,923,22.729590795,18491.4438749
