lon,lat,CellID,grnt_Opn,grnt_Oth,grnt_Dec,grnt_Mxd,grnt_Evg,grnt_WP,nlcd_Opn,nlcd_Oth,nlcd_Dec,nlcd_Mxd,nlcd_Evg,el,rugg,temp,precip,seas,pop,homes,roads,pWP,Train
767910.6,4774339.2,3492,0,0.006,0.3964,0.4592,0.0752,0.0632,0,0.007092199,0.654255319,0.122783688,0.215868794,185.2714216,3.028266942,89.46905518,941,355.3875732,48.18286461,0.53685643,2009.162607,28.5412234,TRUE
767910.6,4775753.4,3493,0.0016,0.05,0.3744,0.4572,0.0864,0.0304,0.004979629,0.026256225,0.674966048,0.04753282,0.246265278,214.9500714,3.790837877,87.48333359,987.5,355.1069641,48.18286461,0.53685643,60.06351843,29.5387053,TRUE
767910.6,4777167.6,3494,0.11,0.1548,0.4788,0.1228,0.02,0.1136,0.072883658,0.298777727,0.295156179,0.075599819,0.257582617,172.4360634,3.828350533,88.84880829,1013,355.8798828,46.41612443,0.496615844,2540.266038,28.81892259,TRUE
767910.6,4778581.8,3495,0.0644,0.0732,0.1548,0.406,0.0672,0.2344,0.01674966,0.116342236,0.357175192,0.124943413,0.384789498,140.4744388,2.213815148,89.86071014,963,356.5091858,13.24806592,0.065442042,3971.576306,41.28429153,TRUE
767910.6,4779996,3496,0.0084,0.046,0.064,0.226,0.1808,0.4748,0.002716161,0.087822544,0.159348121,0.042100498,0.708012675,144.2798968,1.880278388,89.22618866,962,356.3771362,39.5224033,0.155735768,3378.099609,52.02748227,TRUE
767910.6,4781410.2,3497,0.098,0.1972,0.2168,0.1828,0.0468,0.2584,0.025803531,0.203259393,0.185151652,0.127659574,0.458125849,150.0197624,1.423559775,89.87976074,976.5,356.8949432,88.29341909,0.247739363,3932.505386,42.02489814,TRUE
767910.6,4782824.4,3498,0.1076,0.318,0.0936,0.3868,0.0516,0.0424,0.068262411,0.35106383,0.258421986,0.043882979,0.278368794,180.7030673,1.313335929,87.71071243,1070.5,356.5942841,178.4217111,2.526587393,5602.361349,34.11679493,TRUE
767910.6,4784238.6,3499,0.1184,0.2076,0.0844,0.2364,0.0448,0.3084,0.041195111,0.271616116,0.118605704,0.058850158,0.509732911,152.3131439,1.37586904,89.17262268,1080.5,357.4214783,44.79385409,0.918974066,5134.903307,43.74513354,TRUE
767910.6,4785652.8,3500,0.0408,0.2744,0.1524,0.3536,0.0416,0.1372,0.014486193,0.263467632,0.21819828,0.143503848,0.360344047,136.8485792,2.137806342,89.78333282,1100,357.7133789,19.38518135,0.352473882,2064.869926,37.93798099,TRUE
767910.6,4787067,3501,0.2764,0.0676,0.2176,0.2384,0.0392,0.1608,0.21186057,0.184246265,0.217745586,0.146672703,0.239474876,151.5788378,2.12884406,89.42619324,1177,357.9152222,68.59309537,0.078385644,10819.18884,39.26817376,TRUE
767910.6,4788481.2,3502,0.1376,0.1476,0.2552,0.3048,0.0272,0.1276,0.091444092,0.140787687,0.387052965,0.0769579,0.303757356,177.3282905,2.673864638,86.4821434,1261,357.202774,146.5723962,0,6038.383698,34.21548212,TRUE
767910.6,4789895.4,3503,0.0948,0.1172,0.2044,0.3224,0.0496,0.2116,0.058397465,0.102308737,0.155726573,0.386600272,0.296966953,164.1837021,2.617393106,85.26547241,1293.5,357.2436829,108.3720352,0.626780077,4360.910867,37.49434133,TRUE
767910.6,4791309.6,3504,0.1408,0.2416,0.3004,0.2096,0.0132,0.0944,0.088652482,0.136524823,0.288120567,0.329343972,0.157358156,190.4125914,3.082343657,84.80000305,1281,357.4739075,181.1005827,1.781077524,6281.466008,28.46899049,TRUE
767910.6,4792723.8,3505,0.0936,0.3004,0.0872,0.1476,0.0072,0.364,0.060208239,0.263014939,0.020823902,0.231779086,0.424173834,127.923226,2.103619557,87.91904449,1179,358.3795471,75.729385,2.19750595,3631.783197,42.78859212,TRUE
767910.6,4794138,3506,0.1384,0.1976,0.0404,0.1056,0.0516,0.4664,0.047985514,0.203259393,0.030330466,0.265278407,0.45314622,118.3893276,1.668479223,89.82380295,1013,359.2805786,71.43986555,6.69E-04,4608.305093,52.02615248,TRUE
767910.6,4795552.2,3507,0.0476,0.066,0.1616,0.188,0.1276,0.4092,0.012222725,0.065187868,0.143051154,0.277048438,0.502489814,142.1511869,2.605985342,88.4892807,978.5,359.1765747,16.94013254,0,1420.220061,44.66319602,TRUE
767910.6,4796966.4,3508,0.036,0.0316,0.2432,0.2796,0.0732,0.3364,0.011770032,0.034857402,0.172476234,0.42870077,0.352195564,136.7917077,2.081798879,89.14524078,992,359.6481934,24.45685932,1.115197178,3192.897386,42.26210955,TRUE
767910.6,4798380.6,3509,0.0416,0.0576,0.3048,0.3808,0.106,0.1092,0.008865248,0.056294326,0.328900709,0.438386525,0.167553191,168.4517897,2.854328615,87.55238342,1040,359.3814087,81.11871734,3.579542972,4635.116575,32.42824808,TRUE
767910.6,4799794.8,3510,0.1632,0.1208,0.1208,0.3628,0.0644,0.168,0.043005885,0.068809416,0.107741059,0.593933907,0.186509733,144.0258922,1.969197512,87.10832977,1033,359.4809875,127.3981967,3.665586349,8500.173004,39.0072431,TRUE
767910.6,4801209,3511,0.1228,0.2132,0.3192,0.2612,0.0392,0.0444,0.087822544,0.175645088,0.341783612,0.30421005,0.090538705,169.3304965,2.885267027,86.52024078,1023.5,359.6322174,40.51285486,2.746520427,3300.646196,29.7016844,TRUE
