"cn","prev_plt_cn","state","county","fips","measyr","invyr","remper","plot_status_cd","lat","lon","elev","slope","aspect","nconds","max_condprop","reservcd","owncd","owngrpcd","fortypcd","stdage","stdszcd","dominant_species","dominant_conifer","dominant_hardwood","tpa","wp_tpa","conifer_tpa","ba","wp_ba","conifer_ba","qmd","netbdft","wp_netbdft","grosscuft","wp_grosscuft","netcuft","wp_netcuft","sward","wp_sward","conifer_sward","prop_conifer","prop_wp_conifer","LC"
15666901020004,NA,23,17,23017,2013,2013,-9999,1,44.292659,-70.911233,719,17,290,1,1,0,11,10,801,50,2,316,129,316,789.550998,6.018046,12.036092,113.750014,8.298071,9.727856,5.139513,1537.876955,1002.400658,1776.956037,226.375372,1589.214198,210.529099,0.79997,0.028547,0.036052,0.0855196026613236,0.853021570220612,"Deciduous"
15666905020004,NA,23,17,23017,2013,2013,-9999,1,44.304599,-70.830997,884,0,0,2,0.627729,0,11,10,123,67,1,261,261,316,1152.341316,12.036092,705.298354,147.025208,2.29107,116.063302,4.836616,6049.146509,0,2460.041131,29.710612,2305.601587,29.116396,0.772432,0.011702,0.558211,0.789410901564581,0.0197398312862062,"Evergreen"
15666904020004,NA,23,17,23017,2013,2013,-9999,1,44.369203,-70.922734,966,3,0,1,1,0,11,10,104,90,1,261,261,316,444.814818,12.036092,279.578846,234.626908,20.790638,166.791221,9.834122,15990.100394,2827.447118,5569.132922,616.72942,4779.121678,563.00444,1.059856,0.067773,0.675694,0.710878485429301,0.124650673310917,"Evergreen"
15666903020004,NA,23,17,23017,2013,2013,-9999,1,44.327616,-70.983645,1453,32,40,1,1,0,11,10,801,86,1,261,261,371,261.524708,0,72.216552,137.21909,0,60.673304,9.808153,8496.718123,0,3212.219892,0,2885.974499,0,0.717064,0,0.249473,0.442163725178472,0,"Mixed"
171138040020004,145023537010661,23,29,23029,2014,2014,5,1,44.72188,-67.54791,118,0,0,1,1,0,46,40,125,98,3,95,95,0,851.959602,0,851.959602,50.763773,0,50.763773,3.305246,691.212627,0,447.899483,0,443.420492,0,0.336608,0,0.336608,1,0,"Evergreen"
171138130020004,145023511010661,23,29,23029,2014,2014,5,1,44.85901,-67.30806,109,33,70,1,1,0,46,40,121,40,3,12,12,316,2288.336052,0,1658.523566,85.492425,0,70.675612,2.61722,0,0,393.092855,0,368.31751,0,0.580257,0,0.445827,0.826688586737363,0,"Evergreen"
171137655020004,145023655010661,23,29,23029,2014,2014,5,1,45.53197,-67.9556,634,1,0,1,1,0,46,40,123,77,3,241,241,316,2348.516512,18.054138,2231.424908,101.125371,3.101806,75.849594,2.809762,425.495886,0,824.91768,39.338859,662.999047,38.552084,0.637541,0.016162,0.466207,0.750055038116992,0.040894167475702,"Evergreen"
171138140020004,145023531010661,23,29,23029,2014,2014,5,1,44.83859,-67.42162,142,2,0,1,1,0,31,30,127,84,1,241,241,0,1356.434294,24.072184,1356.434294,196.773775,46.154552,196.773775,5.157278,8524.91067,4674.287347,3220.910053,1224.062576,2815.994512,1001.195719,0.838847,0.147769,0.838847,1,0.234556418913039,"Evergreen"
171138108020004,145023567010661,23,29,23029,2014,2014,5,1,45.04936,-67.65003,410,8,125,1,1,0,46,40,902,29,3,375,261,375,1472.484726,0,479.881922,59.542523,0,26.34384,2.722855,920.422992,0,488.947353,0,442.014857,0,0.4437,0,0.15071,0.442437415693655,0,"Mixed"
171138104020004,145023559010661,23,29,23029,2014,2014,5,1,45.28115,-67.65695,293,0,0,1,1,0,46,40,125,124,2,95,95,316,570.673198,6.018046,552.61906,116.971827,12.868066,108.493884,6.130321,2709.696489,1791.647381,1773.008476,384.688112,1672.683214,346.2193,0.637064,0.04055,0.587985,0.927521496265934,0.118606372318646,"Evergreen"
171138132020004,145023515010661,23,29,23029,2014,2014,5,1,44.76005,-67.30038,136,5,267,2,0.822877,0,46,40,123,56,2,97,97,316,2055.194016,0,2037.139878,173.40472,0,168.578047,3.933149,942.721062,0,1510.38811,0,1453.599499,0,1.036235,0,1.005198,0.972165273240544,0,"Evergreen"
171138123020004,145023497010661,23,29,23029,2014,2014,5,1,44.79974,-67.04813,205,7,23,1,1,0,46,40,124,58,2,97,97,375,1230.575914,0,933.463516,130.642921,0,102.21214,4.411894,1630.241149,0,1630.242148,0,1535.453518,0,0.734148,0,0.521528,0.782377944534783,0,"Evergreen"
171138102020004,145023555010661,23,29,23029,2014,2014,5,1,45.24966,-67.46716,230,2,0,2,0.75,0,46,40,121,28,3,12,12,316,926.924884,6.018046,740.886044,101.160584,2.316016,63.20298,4.473214,3005.171703,0,1347.976376,43.97586,1120.62451,42.656584,0.573226,0.010284,0.332556,0.624778718161611,0.036644094946156,"Mixed"
171138127020004,145023505010661,23,29,23029,2014,2014,5,1,44.99234,-67.28043,341,5,31,1,1,0,46,40,127,69,2,241,241,316,2570.663628,93.01942,2252.748362,118.683751,7.527091,108.72748,2.909439,1522.316088,0,1221.666684,56.850344,1144.195078,55.443223,0.66618,0.043464,0.590636,0.916110917323467,0.0692289658511353,"Evergreen"
171137883020004,145023579010661,23,29,23029,2014,2014,5,1,44.86236,-68.01613,633,36,200,1,1,0,46,40,105,84,1,261,261,371,1077.376034,6.018046,897.35524,139.791154,3.217016,125.297829,4.877446,5136.599942,205.939448,2294.004963,66.302083,2183.94169,63.650002,0.74865,0.013377,0.635037,0.896321586986827,0.0256749540329226,"Evergreen"
171137536020004,145024693010661,23,29,23029,2014,2014,5,1,44.9337,-67.35585,256,2,0,1,1,0,46,40,127,103,1,241,241,371,4276.810976,74.965282,3278.190126,181.512114,0.690994,139.518767,2.789517,5152.030579,0,2230.738365,0,2108.652275,0,1.088857,0.006472,0.706257,0.768647138339208,0.00495269571870571,"Evergreen"
171138105020004,145023561010661,23,29,23029,2014,2014,5,1,45.12483,-67.57684,123,1,0,1,1,0,46,40,801,71,2,97,97,316,1881.191268,42.126322,1308.289926,141.245627,16.272832,96.288105,3.710286,833.565882,833.565882,1323.576865,340.22405,1260.140245,325.234536,0.886436,0.069176,0.540781,0.68170680427508,0.169001477389133,"Evergreen"
