category,min,max,mean,stddev,sum,count
54,0.0,39.86528275,14.9823484606,14.1284442553,329.611666134,22
42,0.0,24.4129032,5.76533330519,6.24586097124,155.66399924,27
48,0.008282197,145.0130704,15.9667757942,28.7867526182,431.102946444,27
43,0.0,158.8920769,19.3708005488,32.0782453922,503.640814268,26
49,0.105565187,148.7194054,23.3036862182,32.0853120847,769.0216452,33
52,0.0,267.6777605,21.7068095911,51.2287512547,694.617906915,32
53,0.0,117.6085737,24.1908654328,23.0529473989,919.252886445,38
24,0.0,66.71027605,17.833976277,20.5206109509,374.513501818,21
25,0.0,73.94682581,11.4900014932,14.174230695,459.60005973,40
26,0.0,87.73504024,20.6145214353,27.2559549598,494.748514446,24
27,0.0,56.62766966,9.32370314023,13.086599024,205.121469085,22
20,0.0,35.64165801,7.89594265118,9.9580034659,173.710738326,22
21,0.0,34.85728325,8.19971754895,10.5142437514,180.393786077,22
22,0.017397171,30.4250746,10.3879667087,11.2828637521,124.655600504,12
23,0.0,42.01143724,9.19382696123,10.8186512958,275.814808837,30
46,0.0,86.08791778,11.3229218696,22.1401695125,226.458437393,20
47,0.0,83.37934857,16.2856685282,22.183757945,439.713050262,27
44,0.0,28.37572892,8.18126623685,8.47606469216,212.712922158,26
45,0.0,349.835881,38.3883466775,68.6115626358,2725.5726141,71
28,0.021092069,24.72892558,6.29609123913,6.69581583701,94.441368587,15
29,0.0,114.0334475,22.5461612589,29.3614346768,901.846450355,40
40,0.0,41.48768856,10.0140756073,11.9170250152,180.253360931,18
41,0.0,35.71563365,7.15372843111,9.24589527944,200.304396071,28
1,0.0,8.518035548,1.57634605889,2.67166450203,14.18711453,9
3,0.0,15.48370042,3.08322623747,3.55241127379,110.996144549,36
2,0.0,44.42489242,10.789591185,14.6949186463,140.264685405,13
5,0.0,48.08388028,10.8362266542,12.0897449457,379.267932896,35
4,0.0,60.27997127,16.0212976915,17.4844948706,400.532442288,25
7,0.0,31.25366601,7.19916792925,8.10157642692,172.780030302,24
6,0.0,157.2412817,22.3209810019,31.3517814282,669.629430057,30
9,0.0,49.21702816,5.799635267,11.7095359079,139.191246408,24
8,0.0,36.99904192,7.54178328336,10.9494508541,105.584965967,14
51,0.0,213.7515714,24.76633876,36.7531328681,1213.55059924,49
39,0.0,140.4961199,16.8732994069,24.5528615227,725.551874497,43
38,0.0,263.0382251,42.7804490736,47.8009705688,3764.67951848,88
11,0.0,38.2272179,12.4562261806,13.1853226466,174.387166528,14
10,1.435928455,44.54329805,12.1002386545,14.4677179931,96.801909236,8
13,0.0,28.75895058,7.99391686365,10.1790505532,159.878337273,20
12,0.235438741,109.4392561,22.031674213,28.4879977178,528.760181113,24
15,0.0,31.71084444,8.54951229937,8.51160813581,205.188295185,24
14,0.0,19.19398646,5.52381698652,5.36335178183,182.285960555,33
17,0.0,41.7129319,12.068255279,16.030265158,72.409531674,6
16,2.745136684,47.89467583,25.8756920613,22.5952852351,77.627076184,3
19,1.369636322,17.80073407,8.50952337933,6.00738524607,76.585710414,9
18,0.055460317,43.98278693,13.7743937109,16.177814781,123.969543398,9
31,0.002828036,76.7781617,18.4793963607,20.8976163259,591.340683541,32
30,0.0,71.85163083,17.400193532,18.3973434493,452.405031833,26
37,0.257410332,233.1552097,30.1510001839,48.6584821031,663.322004045,22
36,0.0,50.86236414,15.086458919,14.5317148125,588.371897842,39
35,0.0,97.55428988,16.8079500646,23.7804734972,739.549802842,44
34,0.0,42.01882954,9.41122553579,10.6956129476,131.757157501,14
33,0.009703353,57.62030006,8.65158883824,13.0313656431,181.683365603,21
32,0.0,205.6665707,25.1105873578,36.1881098109,1129.9764311,45
50,0.502587203,78.01255313,22.5497501541,22.9608098432,518.644253545,23
