category,min,max,mean,stddev,sum,count
11542,0.014477442,0.014477442,0.014477442,nan,0.014477442,1
11543,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11540,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11541,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11546,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11547,0.014477442,0.014477442,0.014477442,nan,0.014477442,1
11544,0.014477442,0.014477442,0.014477442,nan,0.014477442,1
11545,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11548,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
11549,0.007541649,0.019223015,0.013382332,0.00825997311212,0.026764664,2
5988,0.013887819,0.524263099,0.269075459,0.360889821438,0.538150918,2
5989,0.537845658,0.537845658,0.537845658,nan,0.537845658,1
19399,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19398,0.070764758,0.070764758,0.070764758,nan,0.070764758,1
5982,0.081360603,0.175893432,0.1286270175,0.0668448044306,0.257254035,2
5983,0.549938816,0.549938816,0.549938816,nan,0.549938816,1
5980,0.119620106,0.119620106,0.119620106,nan,0.119620106,1
5981,0.119620137,0.119620137,0.119620137,nan,0.119620137,1
5986,0.549938959,0.549938959,0.549938959,nan,0.549938959,1
5987,0.088292313,0.459661537,0.273976925,0.262597696614,0.54795385,2
5984,0.549939244,0.549939244,0.549939244,nan,0.549939244,1
5985,0.549938816,0.549938816,0.549938816,nan,0.549938816,1
29237,0.430664172,0.430664172,0.430664172,nan,0.430664172,1
270,0.0,0.087373494,0.043686747,0.0617823901034,0.087373494,2
271,0.0,0.011853659,0.0059268295,0.00838180266077,0.011853659,2
272,0.0,0.0,0.0,nan,0.0,1
273,0.0,0.0,0.0,0.0,0.0,2
274,0.0,0.0,0.0,nan,0.0,1
275,0.0,0.0,0.0,nan,0.0,1
276,0.0,0.319542404,0.159771202,0.225950600745,0.319542404,2
277,0.064439291,0.344558847,0.204499069,0.198074437591,0.408998138,2
278,0.087535819,0.087535819,0.087535819,nan,0.087535819,1
279,0.087535796,0.087535796,0.087535796,nan,0.087535796,1
16707,0.0,0.094678793,0.0473393965,0.0669480165649,0.094678793,2
19978,0.084832771,0.084832771,0.084832771,nan,0.084832771,1
16701,0.014477442,0.014477442,0.014477442,nan,0.014477442,1
16700,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
16703,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
16702,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
12019,0.09507521,0.09507521,0.09507521,nan,0.09507521,1
12018,0.0,0.056794746,0.028397373,0.0401599500324,0.056794746,2
12015,0.0,0.298018078,0.149009039,0.21073060387,0.298018078,2
12014,0.0,0.0,0.0,nan,0.0,1
12017,0.0,0.0,0.0,nan,0.0,1
12016,0.0,0.204763045,0.1023815225,0.144789337656,0.204763045,2
12011,0.0,0.0,0.0,0.0,0.0,2
12010,0.0,0.968649173,0.538746389333,0.493412102567,1.616239168,3
12013,0.0,0.0,0.0,nan,0.0,1
12012,0.0,0.0,0.0,nan,0.0,1
17258,0.001285581,0.10492046,0.0531030205,0.0732809257083,0.106206041,2
17259,0.028201334,0.455749094,0.180785989,0.238603511161,0.542357967,3
17250,0.014477442,0.014477442,0.014477442,nan,0.014477442,1
17251,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
17252,0.014477439,0.014477439,0.014477439,nan,0.014477439,1
17253,0.004182405,0.013900948,0.0090416765,0.00687204765855,0.018083353,2
17254,0.012199871,0.01652363,0.0143617505,0.00305735930912,0.028723501,2
17255,0.010220964,0.030880451,0.0205507075,0.0146084633535,0.041101415,2
17256,0.008233622,0.04529849,0.026766056,0.0262088195066,0.053532112,2
17257,0.004961888,0.069034736,0.036998312,0.0453063453107,0.073996624,2
10709,0.142281781,0.142281781,0.142281781,nan,0.142281781,1
10708,0.142281744,0.142281744,0.142281744,nan,0.142281744,1
9258,0.049450259,0.049450259,0.049450259,nan,0.049450259,1
9259,0.049450259,0.049450259,0.049450259,nan,0.049450259,1
9256,0.049450284,0.049450284,0.049450284,nan,0.049450284,1
9257,0.049450259,0.049450259,0.049450259,nan,0.049450259,1
9254,0.183940767,0.183940767,0.183940767,nan,0.183940767,1
9255,0.015105656,0.127752062,0.071428859,0.0796530375589,0.142857718,2
10707,0.142281781,0.142281781,0.142281781,nan,0.142281781,1
10706,0.142281744,0.142281744,0.142281744,nan,0.142281744,1
9250,0.142281744,0.142281744,0.142281744,nan,0.142281744,1
9251,0.024369675,0.152435882,0.0884027785,0.0905564834105,0.176805557,2
21619,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
21618,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
21615,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
21614,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
21617,0.337162057,0.337162057,0.337162057,nan,0.337162057,1
21616,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
21611,0.044633816,0.316608301,0.1806210585,0.192315002653,0.361242117,2
21610,0.000154143,0.684288603,0.235312706667,0.38897092263,0.70593812,3
21613,0.337162057,0.337162057,0.337162057,nan,0.337162057,1
21612,0.33716197,0.33716197,0.33716197,nan,0.33716197,1
19397,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19396,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19395,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19394,0.070764758,0.070764758,0.070764758,nan,0.070764758,1
19393,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19392,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19391,0.07076474,0.07076474,0.07076474,nan,0.07076474,1
19390,0.070764758,0.070764758,0.070764758,nan,0.070764758,1
29236,0.430663949,0.430663949,0.430663949,nan,0.430663949,1
32836,0.074683088,0.074683088,0.074683088,nan,0.074683088,1
36421,0.121382755,0.121382755,0.121382755,nan,0.121382755,1
13058,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13059,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
41398,0.190386104,0.190386104,0.190386104,nan,0.190386104,1
13052,0.057134389,0.057134389,0.057134389,nan,0.057134389,1
13053,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13050,0.057134389,0.057134389,0.057134389,nan,0.057134389,1
13051,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13056,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13057,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13054,0.057134374,0.057134374,0.057134374,nan,0.057134374,1
13055,0.057134389,0.057134389,0.057134389,nan,0.057134389,1
20258,0.178471559,0.178471559,0.178471559,nan,0.178471559,1
20259,0.178471606,0.178471606,0.178471606,nan,0.178471606,1
20252,0.0,0.0,0.0,nan,0.0,1
20253,0.0,0.025273561,0.0126367805,0.0178711063678,0.025273561,2
20250,0.0,0.0,0.0,nan,0.0,1
20251,0.0,0.0,0.0,nan,0.0,1
20256,0.0,0.036520939,0.0182604695,0.0258242036222,0.036520939,2
20257,0.0,0.076366147,0.024673839,0.0360332654557,0.098695356,4
20254,0.0,0.087534832,0.043767416,0.0618964732972,0.087534832,2
20255,0.0,0.060393622,0.030196811,0.0427047396566,0.060393622,2
