left,top,CellID,distance
-72.191295,43.10067,1,0.0063104238863
-72.191295,43.147215,2,0.000782684530085
-72.191295,43.19376,3,0.00475886291594
-72.191295,43.240305,4,0.00260227070783
-72.191295,43.28685,5,0.00201380569423
-72.191295,43.333395,6,0.00197225326335
-72.14475,43.10067,7,0.00193466912203
-72.14475,43.147215,8,0.0025267037703
-72.14475,43.19376,9,0.000468044496291
-72.14475,43.240305,10,0.00217602721519
-72.14475,43.28685,11,0.00135404622543
-72.14475,43.333395,12,0.00199694744821
-72.098205,43.10067,13,0.000893783437797
-72.098205,43.147215,14,0.00377623159136
-72.098205,43.19376,15,0.000409049087453
-72.098205,43.240305,16,0.00213010473931
-72.098205,43.28685,17,0.0180281475822
-72.098205,43.333395,18,0.0175802402531
-72.05166,43.10067,19,0.00625734039387
-72.05166,43.147215,20,4.1499679128e-05
-72.05166,43.19376,21,0.0038907902494
-72.05166,43.240305,22,0.00489440445183
-72.05166,43.28685,23,0.00180258412987
-72.05166,43.333395,24,0.00123474447002
-72.005115,43.10067,25,0.00185555484347
-72.005115,43.147215,26,0.00236017400516
-72.005115,43.19376,27,5.0841957641e-05
-72.005115,43.240305,28,0.00574647125253
-72.005115,43.28685,29,0.00191652265784
-72.005115,43.333395,30,0.000668951134552
-71.95857,43.10067,31,0.00214048723772
-71.95857,43.147215,32,0.00125138111588
-71.95857,43.19376,33,0.00826850703196
-71.95857,43.240305,34,0.00476050616403
-71.95857,43.28685,35,0.000348490922667
-71.95857,43.333395,36,0.00372509257382
-71.912025,43.10067,37,0.0081635598148
-71.912025,43.147215,38,0.000391001685376
-71.912025,43.19376,39,0.00699385082074
-71.912025,43.240305,40,0.00141411322752
-71.912025,43.28685,41,0.00184611568115
-71.912025,43.333395,42,0.00211238567206
-71.86548,43.10067,43,0.003469461966
-71.86548,43.147215,44,0.0075254755267
-71.86548,43.19376,45,0.000291203807257
-71.86548,43.240305,46,0.00776111193153
-71.86548,43.28685,47,0.00514150011279
-71.86548,43.333395,48,0.000364310575873
-71.818935,43.10067,49,0.00426772900338
-71.818935,43.147215,50,8.3455209253e-05
-71.818935,43.19376,51,0.000464268835828
-71.818935,43.240305,52,0.000576683881409
-71.818935,43.28685,53,0.00391900736504
-71.818935,43.333395,54,0.00613341853368
