category,min,max,mean,stddev,sum,count
54,0.002033701,16.49597906,5.69990514518,5.51530565001,125.397913194,22
42,0.012495157,13.31612902,2.90435969126,2.96069251785,78.417711664,27
48,0.004969318,75.89469106,7.48568810137,14.7555071608,202.113578737,27
43,0.235517742,64.36530783,9.62721301508,13.9076033392,250.307538392,26
49,0.038892437,85.68601505,11.1928610849,19.8407044221,369.364415802,33
52,0.006200588,89.56135595,8.19467402809,16.6038097255,262.229568899,32
53,0.556746812,46.49641285,9.59238376905,9.05147044521,364.510583224,38
24,0.033768337,69.29164126,13.163241719,17.0119209885,276.428076099,21
25,0.061393403,36.98651583,7.50485003488,7.94420285125,300.194001395,40
26,0.001342233,34.27150009,8.47963512479,10.3617946788,203.511242995,24
27,0.04449786,58.61460544,5.87603478923,12.1641937068,129.272765363,22
20,0.305850298,42.4847742,7.68643760159,10.667457509,169.101627235,22
21,0.022215727,19.01306359,5.12273896,6.00020248501,112.70025712,22
22,0.011598114,21.86802237,5.25501229942,6.1978882545,63.060147593,12
23,0.132570584,23.06510279,4.4283591742,5.13704951568,132.850775226,30
46,0.067411959,33.62809288,5.10926955475,9.07902607855,102.185391095,20
47,0.027779807,29.77833877,6.57396869804,8.00292252829,177.497154847,27
44,0.008022087,10.01496314,3.41710689477,3.21635553725,88.844779264,26
45,0.000927436,163.2801698,12.8906012777,23.1961712429,915.232690714,71
28,0.00922778,9.050462708,3.41045295873,2.92415067738,51.156794381,15
29,0.08530278,57.70076066,10.7420969386,13.0312979509,429.683877544,40
40,0.002509438,28.81089483,6.89214993583,7.59609531833,124.058698845,18
41,0.007708331,19.59309157,4.03156574154,5.54650022926,112.883840763,28
1,0.091650271,10.64754443,1.57858630622,3.41412395413,14.207276756,9
3,0.070736063,57.62871485,9.95331609689,12.0378269745,358.319379488,36
2,0.018033729,28.05782679,6.16339299592,8.5129546703,80.124108947,13
5,8.839e-05,20.76452103,4.78062170577,5.06984812342,167.321759702,35
4,0.05049581,27.97619773,6.8894540492,7.0259276642,172.23635123,25
7,0.000975131,63.58212642,10.1646313821,13.672773539,243.95115317,24
6,0.026368737,66.62766176,9.5152645699,13.3352658465,285.457937097,30
9,0.001807069,49.21702816,11.4720297995,13.2260543355,275.328715188,24
8,0.057992907,50.61690484,8.02818966336,13.0883543898,112.394655287,14
51,0.021380981,81.86230395,10.6229323141,15.6010603169,520.523683392,49
39,0.074942469,68.24097253,11.7284435279,14.7924466614,504.3230717,43
38,0.047523591,111.9311596,19.1709853859,21.4165166664,1687.04671396,88
11,0.001068869,19.11360895,5.69969957486,5.79583860316,79.795794048,14
10,2.263608953,20.68081695,8.863186565,6.45941758482,70.90549252,8
13,0.007170907,78.06000873,16.8859568187,18.5753576234,337.719136375,20
12,0.147149213,107.2551356,13.1108596348,23.0621498737,314.660631235,24
15,5.695e-06,45.27367444,9.46070783654,9.96700943877,227.056988077,24
14,0.019555441,98.7119304,15.7295453772,19.6439628627,519.074997448,33
17,0.223182026,20.85646595,7.63746952317,8.65866982651,45.824817139,6
16,4.117705027,34.42429825,20.7635984357,15.3722455677,62.290795307,3
19,0.588676033,8.529579078,4.42070278889,2.59113652274,39.7863251,9
18,0.036973545,35.60511323,8.66015669967,11.8477942827,77.941410297,9
31,0.000942678,71.17389942,10.1420368138,15.7215968378,324.545178041,32
30,0.000110315,69.45657647,10.3230568862,13.9642964386,268.39947904,26
37,0.107254305,93.79807288,12.1593470578,19.9376421342,267.505635272,22
36,0.009815659,33.97049112,8.718654418,9.3357893698,340.027522302,39
35,4.84e-07,53.21075648,10.3290179918,14.2349969783,454.476791641,44
34,0.010511983,21.00941477,5.39910627014,5.51147324722,75.587487782,14
33,0.003528492,25.20888127,4.24036719181,6.42478350961,89.047711028,21
32,0.006808775,75.88766515,10.6783153768,14.7508369178,480.524191955,45
50,0.167529068,33.51355282,11.7487665816,11.4240485783,270.221631377,23
